Name;Price;Release year;Open source;Modularity;Connectivity;Ecology;Visual lang.;Link
Arduino;~30$;2005;yes;yes (tinker kit);yes (require extra hw);no;yes (ardublocks);http://arduino.cc
Raspberry pi;~40$;2012;yes;no;yes (with extra hw);no;yes (scratch);http://raspberrypi.org
LittleBits;~100$/kit;2008;yes;yes;yes (wifi);no;no;http://littlebits.cc
Lightblue Bean;~30$;2013;partially;no;yes (BLE);no;no (arduino);http://punchthrough.com/bean/
Printoo;45$/kit;2014;yes;yes;yes (BLE);no;no (arduino);http://printoo.pt
Bitalino;;2014;n/a;yes;n/a;no;no;http://www.bitalino.com/
Atomwear;45$/kit;2014;yes;yes;yes (BLE);no;no (proprietary);https://www.kickstarter.com/projects/343910040/atomwear
Microduino;20$/module;2013;yes;yes;yes (BT);no;no (arduino);https://www.kickstarter.com/projects/microduino/microduino-arduino-in-your-pocket-small-stackable
Twine;99$;2012;n/a;no;yes (wifi);no;no (but easy rule-based language);https://www.kickstarter.com/projects/supermechanical/twine-listen-to-your-world-talk-to-the-internet
Microview;45$;2014;partially;no;no;no;no (arduino);https://www.kickstarter.com/projects/1516846343/microview-chip-sized-arduino-with-built-in-oled-di
Xadow;30$/module;2012;no;yes;yes (BLE);no;no (arduino);http://www.seeedstudio.com/depot/s/xadow.html?search_in_description=0
Kano Computer;99$;2013;partially;no;yes (wifi);no;yes (scratch);https://www.kickstarter.com/projects/alexklein/kano-a-computer-anyone-can-make?ref=nav_search
Spark;39$;2013;partially;no;yes (wifi);no;no (Arduino + js);https://www.kickstarter.com/projects/sparkdevices/spark-core-wi-fi-for-everything-arduino-compatible
Wonderbar;~100$/kit;2013;no;yes;yes (BLE+wifi);n/a;yes (proprietary);http://www.dragoninnovation.com/projects/35-wunderbar-by-relayr
Metawear;35$/kit;2014;no;no;yes (BLE);no;no (ARM);https://www.kickstarter.com/projects/guardyen/metawear-production-ready-wearables-in-30-minutes?ref=discovery
Smart Citizen ;$100/kit;2012;no;partially;yes (wifi);no;no;https://www.kickstarter.com/projects/acrobotic/the-smart-citizen-kit-crowdsourced-environmental-m?ref=nav_search
Circuit Scribe;$30/kit;2014;no;yes;no;no;no;https://www.kickstarter.com/projects/electroninks/circuit-scribe-draw-circuits-instantly?ref=live
Verve 2;$45/kit;2014;n/a;yes;no;no;n/a;https://www.kickstarter.com/projects/54060271/verve2-connect-your-world-to-your-computer-and-int?ref=category_ending_soon
Notion: be at home when you're not;$99;2014;no;yes;no;no;no (rule based engine);https://www.kickstarter.com/projects/1044009888/notion-be-home-even-when-youre-not?ref=category_ending_soon
Make!Sense;$39;2014;no;yes;no;no;yes (scratch);https://www.kickstarter.com/projects/1978340629/makesense-a-universal-interface-for-learning?ref=category_ending_soon
McThings;$100;2014;n/a;yes;yes (BLE+wifi);no;yes (IFTTT, rule based);https://www.kickstarter.com/projects/2016620887/mcthings-tiny-wireless-bluetooth-sensors-and-contr?ref=discovery
Gadgeteer;$100/kit;2009;no;no;no;no;no;http://www.netmf.com/gadgeteer/
Intel Edison + Sparkfun Blocks;$120/kit;2015;no;yes;yes (BLE+wifi);no;no;https://www.sparkfun.com/products/13276
Mesh;$105/kit;2015;n/a;yes;yes (BLE);yes;yes;https://www.indiegogo.com/projects/mesh-creative-diy-kit-for-the-connected-life
Spark Photon;$19;2015;n/a;no;yes (wifi);no ;no;https://www.spark.io
Airboard;$20;2015;no;yes;yes;no;no;https://www.kickstarter.com/projects/223628811/the-airboard-sketch-internet-of-things-fast/description
HIRIS;$100;2015;n/a;yes;yes(BLE);no;no;https://www.indiegogo.com/projects/hiris-the-first-wearable-computer-for-everyone
